YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,BENES_TOTAL_CNT,BENES_WTH_PTAPTB_CNT,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC,IP_MDCR_PYMT_AMT,IP_MDCR_PYMT_PCT,IP_MDCR_PYMT_PC,IP_MDCR_PYMT_PER_USER,IP_MDCR_STDZD_PYMT_AMT,IP_MDCR_STDZD_PYMT_PCT,IP_MDCR_STDZD_PYMT_PC,IP_MDCR_STDZD_PYMT_PER_USER,BENES_IP_CVRD_STAY_CNT,BENES_IP_PCT,IP_CVRD_STAYS_PER_1000_BENES,IP_CVRD_DAYS_PER_1000_BENES,ACUTE_HOSP_READMSN_CNT,ACUTE_HOSP_READMSN_PCT,BENES_ER_VISITS_CNT,ER_VISITS_PER_1000_BENES,BENES_ER_VISITS_PCT,OP_MDCR_PYMT_AMT,OP_MDCR_PYMT_PCT,OP_MDCR_PYMT_PC,OP_MDCR_PYMT_PER_USER,OP_MDCR_STDZD_PYMT_AMT,OP_MDCR_STDZD_PYMT_PCT,OP_MDCR_STDZD_PYMT_PC,OP_MDCR_STDZD_PYMT_PER_USER,BENES_OP_CNT,BENES_OP_PCT,OP_VISITS_PER_1000_BENES,ASC_MDCR_PYMT_AMT,ASC_MDCR_PYMT_PCT,ASC_MDCR_PYMT_PC,ASC_MDCR_PYMT_PER_USER,ASC_MDCR_STDZD_PYMT_AMT,ASC_MDCR_STDZD_PYMT_PCT,ASC_MDCR_STDZD_PYMT_PC,ASC_MDCR_STDZD_PYMT_PER_USER,BENES_ASC_CNT,BENES_ASC_PCT,ASC_EVNTS_PER_1000_BENES,SNF_MDCR_PYMT_AMT,SNF_MDCR_PYMT_PCT,SNF_MDCR_PYMT_PC,SNF_MDCR_PYMT_PER_USER,SNF_MDCR_STDZD_PYMT_AMT,SNF_MDCR_STDZD_PYMT_PCT,SNF_MDCR_STDZD_PYMT_PC,SNF_MDCR_STDZD_PYMT_PER_USER,BENES_SNF_CNT,BENES_SNF_PCT,SNF_CVRD_STAYS_PER_1000_BENES,SNF_CVRD_DAYS_PER_1000_BENES,IRF_MDCR_PYMT_AMT,IRF_MDCR_PYMT_PCT,IRF_MDCR_PYMT_PC,IRF_MDCR_PYMT_PER_USER,IRF_MDCR_STDZD_PYMT_AMT,IRF_MDCR_STDZD_PYMT_PCT,IRF_MDCR_STDZD_PYMT_PC,IRF_MDCR_STDZD_PYMT_PER_USER,BENES_IRF_CNT,BENES_IRF_PCT,IRF_CVRD_STAYS_PER_1000_BENES,IRF_CVRD_DAYS_PER_1000_BENES,LTCH_MDCR_PYMT_AMT,LTCH_MDCR_PYMT_PCT,LTCH_MDCR_PYMT_PC,LTCH_MDCR_PYMT_PER_USER,LTCH_MDCR_STDZD_PYMT_AMT,LTCH_MDCR_STDZD_PYMT_PCT,LTCH_MDCR_STDZD_PYMT_PC,LTCH_MDCR_STDZD_PYMT_PER_USER,BENES_LTCH_CNT,BENES_LTCH_PCT,LTCH_CVRD_STAYS_PER_1000_BENES,LTCH_CVRD_DAYS_PER_1000_BENES,HH_MDCR_PYMT_AMT,HH_MDCR_PYMT_PCT,HH_MDCR_PYMT_PC,HH_MDCR_PYMT_PER_USER,HH_MDCR_STDZD_PYMT_AMT,HH_MDCR_STDZD_PYMT_PCT,HH_MDCR_STDZD_PYMT_PC,HH_MDCR_STDZD_PYMT_PER_USER,BENES_HH_CNT,BENES_HH_PCT,HH_EPISODES_PER_1000_BENES,HH_VISITS_PER_1000_BENES,HOSPC_MDCR_PYMT_AMT,HOSPC_MDCR_PYMT_PCT,HOSPC_MDCR_PYMT_PC,HOSPC_MDCR_PYMT_PER_USER,HOSPC_MDCR_STDZD_PYMT_AMT,HOSPC_MDCR_STDZD_PYMT_PCT,HOSPC_MDCR_STDZD_PYMT_PC,HOSPC_MDCR_STDZD_PYMT_PER_USER,BENES_HOSPC_CNT,BENES_HOSPC_PCT,HOSPC_CVRD_STAYS_PER_1000_BENES,HOSPC_CVRD_DAYS_PER_1000_BENES,EM_MDCR_PYMT_AMT,EM_MDCR_PYMT_PCT,EM_MDCR_PYMT_PC,EM_MDCR_PYMT_PER_USER,EM_MDCR_STDZD_PYMT_AMT,EM_MDCR_STDZD_PYMT_PCT,EM_MDCR_STDZD_PYMT_PC,EM_MDCR_STDZD_PYMT_PER_USER,BENES_EM_CNT,BENES_EM_PCT,EM_EVNTS_PER_1000_BENES,PRCDRS_MDCR_PYMT_AMT,PRCDRS_MDCR_PYMT_PCT,PRCDRS_MDCR_PYMT_PC,PRCDRS_MDCR_PYMT_PER_USER,PRCDRS_MDCR_STDZD_PYMT_AMT,PRCDRS_MDCR_STDZD_PYMT_PCT,PRCDRS_MDCR_STDZD_PYMT_PC,PRCDRS_MDCR_STDZD_PYMT_PER_USER,BENES_PRCDRS_CNT,BENES_PRCDRS_PCT,PRCDR_EVNTS_PER_1000_BENES,TESTS_MDCR_PYMT_AMT,TESTS_MDCR_PYMT_PCT,TESTS_MDCR_PYMT_PC,TESTS_MDCR_PYMT_PER_USER,TESTS_MDCR_STDZD_PYMT_AMT,TESTS_MDCR_STDZD_PYMT_PCT,TESTS_MDCR_STDZD_PYMT_PC,TESTS_MDCR_STDZD_PYMT_PER_USER,BENES_TESTS_CNT,BENES_TESTS_PCT,TESTS_EVNTS_PER_1000_BENES,IMGNG_MDCR_PYMT_AMT,IMGNG_MDCR_PYMT_PCT,IMGNG_MDCR_PYMT_PC,IMGNG_MDCR_PYMT_PER_USER,IMGNG_MDCR_STDZD_PYMT_AMT,IMGNG_MDCR_STDZD_PYMT_PCT,IMGNG_MDCR_STDZD_PYMT_PC,IMGNG_MDCR_STDZD_PYMT_PER_USER,BENES_IMGNG_CNT,BENES_IMGNG_PCT,IMGNG_EVNTS_PER_1000_BENES,DME_MDCR_PYMT_AMT,DME_MDCR_PYMT_PCT,DME_MDCR_PYMT_PC,DME_MDCR_PYMT_PER_USER,DME_MDCR_STDZD_PYMT_AMT,DME_MDCR_STDZD_PYMT_PCT,DME_MDCR_STDZD_PYMT_PC,DME_MDCR_STDZD_PYMT_PER_USER,BENES_DME_CNT,BENES_DME_PCT,DME_EVNTS_PER_1000_BENES,OP_DLYS_MDCR_PYMT_AMT,OP_DLYS_MDCR_PYMT_PCT,OP_DLYS_MDCR_PYMT_PC,OP_DLYS_MDCR_PYMT_PER_USER,OP_DLYS_MDCR_STDZD_PYMT_AMT,OP_DLYS_MDCR_STDZD_PYMT_PCT,OP_DLYS_MDCR_STDZD_PYMT_PC,OP_DLYS_MDCR_STDZD_PYMT_PER_USER,BENES_OP_DLYS_CNT,BENES_OP_DLYS_PCT,OP_DLYS_VISITS_PER_1000_BENES,FQHC_RHC_MDCR_PYMT_AMT,FQHC_RHC_MDCR_PYMT_PCT,FQHC_RHC_MDCR_PYMT_PC,FQHC_RHC_MDCR_PYMT_PER_USER,FQHC_RHC_MDCR_STDZD_PYMT_AMT,FQHC_RHC_MDCR_STDZD_PYMT_PCT,FQHC_RHC_MDCR_STDZD_PYMT_PC,FQHC_RHC_MDCR_STDZD_PYMT_PU,BENES_FQHC_RHC_CNT,BENES_FQHC_RHC_PCT,FQHC_RHC_VISITS_PER_1000_BENES,AMBLNC_MDCR_PYMT_AMT,AMBLNC_MDCR_PYMT_PCT,AMBLNC_MDCR_PYMT_PC,AMBLNC_MDCR_PYMT_PER_USER,AMBLNC_MDCR_STDZD_PYMT_AMT,AMBLNC_MDCR_STDZD_PYMT_PCT,AMBLNC_MDCR_STDZD_PYMT_PC,AMBLNC_MDCR_STDZD_PYMT_PER_USER,BENES_AMBLNC_CNT,BENES_AMBLNC_PCT,AMBLNC_EVNTS_PER_1000_BENES,TRTMNTS_MDCR_PYMT_AMT,TRTMNTS_MDCR_PYMT_PCT,TRTMNTS_MDCR_PYMT_PC,TRTMNTS_MDCR_PYMT_PER_USER,TRTMNTS_MDCR_STDZD_PYMT_AMT,TRTMNTS_MDCR_STDZD_PYMT_PCT,TRTMNTS_MDCR_STDZD_PYMT_PC,TRTMNTS_MDCR_STDZD_PYMT_PER_USER,BENES_TRTMNTS_CNT,BENES_TRTMNTS_PCT,TRTMNTS_EVNTS_PER_1000_BENES,PTB_OTHR_SRVCS_MDCR_PYMT_AMT,PTB_OTHR_SRVCS_MDCR_STDZD_PYMT,TOT_PBPMT_RDCTN_AMT,TOT_PBPMT_RDCTN_PCC,PQI03_DBTS_AGE_LT_65,PQI03_DBTS_AGE_65_74,PQI03_DBTS_AGE_GE_75,PQI05_COPD_ASTHMA_AGE_40_64,PQI05_COPD_ASTHMA_AGE_65_74,PQI05_COPD_ASTHMA_AGE_GE_75,PQI07_HYPRTNSN_AGE_LT_65,PQI07_HYPRTNSN_AGE_65_74,PQI07_HYPRTNSN_AGE_GE_75,PQI08_CHF_AGE_LT_65,PQI08_CHF_AGE_65_74,PQI08_CHF_AGE_GE_75,PQI11_BCTRL_PNA_AGE_LT_65,PQI11_BCTRL_PNA_AGE_65_74,PQI11_BCTRL_PNA_AGE_GE_75,PQI12_UTI_AGE_LT_65,PQI12_UTI_AGE_65_74,PQI12_UTI_AGE_GE_75,PQI15_ASTHMA_AGE_LT_40,PQI16_LWRXTRMTY_AMPUTN_AGE_LT_65,PQI16_LWRXTRMTY_AMPUTN_AGE_65_74,PQI16_LWRXTRMTY_AMPUTN_AGE_GE_75
2023,State,NC,37,All,2273250,2038071,895592,1142479,0.5606,73,0.5425,0.4575,0.8088,0.124,0.0191,0.0481,0.1257,1,9949087856,9753452246,11108.95,10890.51,2754601456,0.2769,3075.73,22485.07,2259072463,0.2316,2522.43,18440.2,122508,0.1368,207.3556,1152.0849,29330,0.1675,506028,565.0207,0.2803,1954819780,0.1965,2182.71,3519.5,2001953902,0.2053,2235.34,3604.36,555426,0.6202,3701.1228,122283639,0.0123,136.54,1303.4,130178038,0.0133,145.35,1387.54,93819,0.1048,148.8948,536919752,0.054,599.51,16875.25,610000097,0.0625,681.11,19172.14,31817,0.0355,46.606,1230.7858,166036653,0.0167,185.39,25364.6,169939349,0.0174,189.75,25960.79,6546,0.0073,7.988,102.0096,42665913,0.0043,47.64,48374.05,46873926,0.0048,52.34,53145.04,882,0.001,1.0407,29.6497,349060056,0.0351,389.75,4884.62,385603975,0.0395,430.56,5396.01,71461,0.0798,221.7829,1639.855,378965424,0.0381,423.15,13615.2,412299822,0.0423,460.37,14812.8124,27834,0.0311,32.3038,2355.7178,937656753,0.0942,1046.97,1140.47,982199309,0.1007,1096.7,1194.65,822167,0.918,13312.1578,437203246,0.0439,488.17,791.4,455326601,0.0467,508.41,824.21,552441,0.6168,2857.1794,337790304,0.034,377.17,449.67,337775534,0.0346,377.15,449.65,751196,0.8388,6496.9763,192812156,0.0194,215.29,280.39,200659947,0.0206,224.05,291.8,687651,0.7678,4417.1263,434403118,0.0437,485.05,1826.93,438785378,0.045,489.94,1845.37,237777,0.2655,1790.4269,181109642,0.0182,202.22,25780.73,189051440,0.0194,211.09,26911.24,7025,0.0078,1056.0914,40905808,0.0041,45.67,528.56,45937548,0.0047,51.29,593.58,77391,0.0864,318.4508,125159489,0.0126,139.75,1031.16,119155142,0.0122,133.05,981.69,121377,0.1355,339.9751,789341742,0.0793,881.36,1361.96,797317976,0.0817,890.27,1375.72,579563,0.6471,3960.2687,167352927,171321800,25578559.94,28.56,621,171,165,443,271,387,197,75,166,937,568,1794,286,227,656,183,163,681,64,240,62,44
2023,State,NC,37,<65,288993,248578,93734,154844,0.6229,50,0.4448,0.5552,0.6056,0.2861,0.0358,0.0725,0.565,1.19,1057081218,1038107320,11277.46,11075.03,361424976,0.3419,3855.86,28503.55,299358890,0.2884,3193.71,23608.75,12680,0.1353,241.4919,1684.0848,4815,0.229,83585,891.7255,0.3326,195938011,0.1854,2090.36,3581.39,208577178,0.2009,2225.2,3812.41,54710,0.5837,3720.1869,7269564,0.0069,77.56,1440.94,8162258,0.0079,87.08,1617.89,5045,0.0538,72.3857,30929402,0.0293,329.97,18928.64,35278286,0.034,376.37,21590.14,1634,0.0174,25.0816,665.8309,13767737,0.013,146.88,28154.88,14598024,0.0141,155.74,29852.81,489,0.0052,5.825,77.1012,8333171,0.0079,88.9,54465.17,9079697,0.0087,96.87,59344.42,153,0.0016,1.7923,52.0942,27676477,0.0262,295.27,5861.18,30833714,0.0297,328.95,6529.8,4722,0.0504,172.4561,1125.5788,11355549,0.0107,121.15,11903.09,12687148,0.0122,135.35,13298.8973,954,0.0102,10.6472,642.6483,99280125,0.0939,1059.17,1269.75,106681302,0.1028,1138.13,1364.4,78189,0.8342,13890.5947,30377460,0.0287,324.08,787.53,32465405,0.0313,346.36,841.66,38573,0.4115,1915.7189,31106651,0.0294,331.86,471.03,31482319,0.0303,335.87,476.72,66039,0.7045,5042.5993,14186394,0.0134,151.35,258.87,15002973.32,0.0145,160.06,273.77,54802,0.5847,3299.5178,44923008,0.0425,479.26,2155.41,45221877,0.0436,482.45,2169.75,20842,0.2224,1795.7305,82756390,0.0783,882.89,27686.98,86295364,0.0831,920.64,28870.98,2989,0.0319,4386.8073,5857774,0.0055,62.49,529.64,6547796,0.0063,69.86,592.02,11060,0.118,473.1794,16379606,0.0155,174.75,1311,15845824,0.0153,169.05,1268.27,12494,0.1333,443.5104,63566581,0.0601,678.16,1601.01,67513146,0.065,720.26,1700.41,39704,0.4236,2850.6732,11952342,12476122,2175689.49,23.21,621,0,0,443,0,0,197,0,0,937,0,0,286,0,0,183,0,0,64,240,0,0
2023,State,NC,37,>=65,1984257,1789493,801858,987635,0.5519,75,0.5539,0.4461,0.8325,0.1051,0.0172,0.0452,0.0743,0.97,8892006638,8715344925,11089.25,10868.94,2393176480,0.2691,2984.54,21790.22,1959713573,0.2249,2443.97,17843.48,109828,0.137,203.3652,1089.8962,24515,0.1591,422443,526.8302,0.2742,1758881768,0.1978,2193.51,3512.73,1793376725,0.2058,2236.53,3581.62,500716,0.6244,3698.8943,115014075,0.0129,143.43,1295.58,122015779,0.014,152.17,1374.45,88774,0.1107,157.8384,505990350,0.0569,631.02,16764.08,574721812,0.0659,716.74,19041.24,30183,0.0376,49.1222,1296.8268,152268917,0.0171,189.9,25139.33,155341325,0.0178,193.73,25646.58,6057,0.0076,8.2409,104.9213,34332742,0.0039,42.82,47095.67,37794229,0.0043,47.13,51843.94,729,0.0009,0.9528,27.026,321383579,0.0361,400.8,4815.53,354770261,0.0407,442.44,5315.79,66739,0.0832,227.549,1699.9718,367609875,0.0413,458.45,13675.96,399612674,0.0459,498.36,14866.5429,26880,0.0335,34.8353,2555.9688,838376628,0.0943,1045.54,1126.88,875518007,0.1005,1091.86,1176.81,743978,0.9278,13244.5408,406825786,0.0458,507.35,791.69,422861197,0.0485,527.35,822.9,513868,0.6408,2967.2324,306683652,0.0345,382.47,447.61,306293214,0.0351,381.98,447.04,685157,0.8545,6666.9872,178625762,0.0201,222.76,282.26,185656973.7,0.0213,231.53,293.37,632849,0.7892,4547.7703,389480110,0.0438,485.72,1795.38,393563501,0.0452,490.81,1814.2,216935,0.2705,1789.8069,98353252,0.0111,122.66,24368.99,102756077,0.0118,128.15,25459.88,4036,0.005,666.744,35048035,0.0039,43.71,528.38,39389752,0.0045,49.12,593.84,66331,0.0827,300.3637,108779883,0.0122,135.66,999.05,103309318,0.0119,128.84,948.81,108883,0.1358,327.8723,725775161,0.0816,905.12,1344.38,729804831,0.0837,910.14,1351.84,539859,0.6733,4089.976,155400585,158845678,23402870.45,29.19,0,171,165,0,271,387,0,75,166,0,568,1794,0,227,656,0,163,681,0,0,62,44
