county,JUN 2023,MAY 2023,APR 2023,MAR 2023,FEB 2023,JAN 2023,DEC 2022,NOV 2022,OCT 2022,SEP 2022,AUG 2022,JUL 2022
* The Public Health Emergency (COVID-19 Medicaid) ended.,0.0,,,,,,,,,,,
*The CHIP program was discontinued as of April 2023,,,0.0,,,,,,,,,
HERTFORD,8235.0,8244.0,8222.0,8091.0,8044.0,8024.0,8004.0,7930.0,7897.0,7879.0,7796.0,7769.0
HOKE,19257.0,19411.0,19338.0,19037.0,19026.0,18799.0,18691.0,18606.0,18473.0,18337.0,18161.0,18040.0
HYDE,1307.0,1364.0,1374.0,1346.0,1360.0,1335.0,1331.0,1315.0,1306.0,1301.0,1292.0,1289.0
IREDELL,44715.0,45945.0,45697.0,44565.0,44509.0,43793.0,43396.0,43115.0,42792.0,42395.0,41946.0,41607.0
JACKSON,10750.0,10720.0,10671.0,10427.0,10378.0,10287.0,10186.0,10096.0,10061.0,9981.0,9896.0,9803.0
JOHNSTON,61546.0,62864.0,62607.0,60989.0,60612.0,59971.0,59517.0,59143.0,58599.0,58060.0,57322.0,56849.0
JONES,3181.0,3228.0,3228.0,3184.0,3187.0,3151.0,3130.0,3107.0,3094.0,3074.0,3045.0,3017.0
LEE,19617.0,19886.0,19870.0,19411.0,19418.0,19246.0,19151.0,19047.0,18982.0,18881.0,18766.0,18755.0
LENOIR,23565.0,23580.0,23499.0,22964.0,22755.0,22629.0,22505.0,22373.0,22247.0,22060.0,21847.0,21704.0
LINCOLN,20829.0,21425.0,21370.0,20870.0,20730.0,20485.0,20233.0,20103.0,19928.0,19827.0,19554.0,19404.0
MACON,9900.0,10154.0,10099.0,9843.0,9806.0,9702.0,9634.0,9572.0,9488.0,9422.0,9360.0,9332.0
MADISON,6239.0,6312.0,6287.0,6189.0,6159.0,6113.0,6075.0,6031.0,5994.0,5977.0,5898.0,5857.0
MARTIN,8093.0,8208.0,8184.0,8035.0,7954.0,7925.0,7873.0,7821.0,7773.0,7720.0,7647.0,7578.0
MCDOWELL,14688.0,14827.0,14778.0,14540.0,14438.0,14332.0,14262.0,14147.0,14074.0,13965.0,13855.0,13759.0
MECKLENBURG,304742.0,307185.0,305725.0,298650.0,295615.0,292336.0,289518.0,286746.0,283965.0,281429.0,278418.0,275979.0
MITCHELL,4106.0,4189.0,4162.0,4095.0,4118.0,4070.0,4064.0,4063.0,4049.0,4015.0,4026.0,4030.0
MONTGOMERY,9242.0,9444.0,9417.0,9221.0,9158.0,9096.0,9058.0,9005.0,8980.0,8921.0,8869.0,8823.0
MOORE,20440.0,20947.0,20870.0,20419.0,20414.0,20167.0,20065.0,20023.0,19915.0,19799.0,19634.0,19556.0
NASH,32411.0,32747.0,32553.0,31793.0,31685.0,31389.0,31099.0,30884.0,30700.0,30443.0,30150.0,29867.0
NEW HANOVER,46063.0,47174.0,47008.0,46229.0,46262.0,45756.0,45473.0,45148.0,44938.0,44629.0,44299.0,44045.0
NORTHAMPTON,6623.0,6646.0,6666.0,6551.0,6536.0,6506.0,6477.0,6448.0,6422.0,6404.0,6389.0,6368.0
ONSLOW,50570.0,51319.0,51115.0,49915.0,49992.0,49054.0,48636.0,48184.0,47690.0,47099.0,46720.0,46417.0
ORANGE,20429.0,21372.0,21388.0,21003.0,21140.0,20831.0,20675.0,20512.0,20403.0,20286.0,20173.0,20092.0
PAMLICO,3112.0,3139.0,3128.0,3069.0,3059.0,3040.0,3003.0,2982.0,2961.0,2944.0,2962.0,2966.0
PASQUOTANK,12405.0,12479.0,12431.0,12327.0,12358.0,12248.0,12191.0,12128.0,12086.0,12032.0,11955.0,11901.0
PENDER,17414.0,17557.0,17436.0,17064.0,16867.0,16679.0,16567.0,16472.0,16331.0,16294.0,16184.0,16154.0
PERQUIMANS,3811.0,3848.0,3832.0,3746.0,3736.0,3686.0,3642.0,3604.0,3590.0,3590.0,3535.0,3508.0
PERSON,11773.0,11990.0,11992.0,11766.0,11722.0,11651.0,11577.0,11498.0,11439.0,11303.0,11230.0,11155.0
PITT,56686.0,57648.0,57505.0,56490.0,56153.0,55613.0,55382.0,55082.0,54743.0,54381.0,54060.0,53848.0
POLK,4591.0,4672.0,4639.0,4532.0,4546.0,4471.0,4396.0,4388.0,4382.0,4370.0,4333.0,4318.0
RANDOLPH,45222.0,46010.0,45869.0,44852.0,44591.0,44281.0,43952.0,43594.0,43282.0,42931.0,42681.0,42320.0
RICHMOND,21386.0,21521.0,21480.0,21262.0,21221.0,21091.0,21001.0,20884.0,20748.0,20628.0,20519.0,20430.0
ROBESON,66008.0,66460.0,66283.0,65381.0,65184.0,64794.0,64510.0,64247.0,63701.0,63301.0,62982.0,62753.0
ROCKINGHAM,29417.0,29434.0,29317.0,28790.0,28711.0,28435.0,28254.0,28073.0,27876.0,27673.0,27509.0,27330.0
ROWAN,47218.0,47694.0,47554.0,46545.0,46251.0,45764.0,45387.0,45067.0,44746.0,44427.0,44137.0,43872.0
RUTHERFORD,22196.0,22600.0,22483.0,22002.0,21840.0,21721.0,21627.0,21506.0,21392.0,21261.0,21061.0,20881.0
SAMPSON,23982.0,24114.0,24002.0,23538.0,23387.0,23256.0,23160.0,23005.0,22916.0,22844.0,22692.0,22600.0
SCOTLAND,15821.0,16006.0,15934.0,15756.0,15758.0,15664.0,15637.0,15566.0,15510.0,15431.0,15354.0,15299.0
STANLY,17716.0,18262.0,18120.0,17689.0,17532.0,17360.0,17147.0,16967.0,16837.0,16691.0,16530.0,16375.0
STOKES,11993.0,12381.0,12315.0,12080.0,12011.0,11900.0,11786.0,11700.0,11611.0,11500.0,11408.0,11332.0
SURRY,22528.0,22740.0,22683.0,22195.0,22117.0,21995.0,21876.0,21701.0,21587.0,21481.0,21297.0,21206.0
SWAIN,6201.0,6260.0,6250.0,6109.0,6056.0,6010.0,5968.0,5936.0,5918.0,5877.0,5854.0,5862.0
TOTALS,2931557.0,2979725.0,2968396.0,2908732.0,2896482.0,2866816.0,2846471.0,2827004.0,2807618.0,2787134.0,2765304.0,2747094.0
TRANSYLVANIA,7500.0,7605.0,7564.0,7413.0,7463.0,7422.0,7399.0,7362.0,7307.0,7261.0,7217.0,7181.0
TYRRELL,1083.0,1106.0,1112.0,1102.0,1103.0,1103.0,1091.0,1087.0,1085.0,1072.0,1060.0,1048.0
UNION,47757.0,49996.0,49656.0,48036.0,47600.0,46924.0,46401.0,46009.0,45521.0,45101.0,44687.0,44293.0
VANCE,21985.0,22145.0,22082.0,21782.0,21778.0,21570.0,21518.0,21500.0,21430.0,21368.0,21311.0,21261.0
WAKE,205772.0,211900.0,211138.0,206272.0,205470.0,203133.0,201433.0,199802.0,198492.0,197026.0,195669.0,194348.0
WARREN,6380.0,6424.0,6432.0,6297.0,6349.0,6282.0,6222.0,6197.0,6161.0,6149.0,6106.0,6089.0
WASHINGTON,4359.0,4399.0,4408.0,4368.0,4396.0,4318.0,4270.0,4260.0,4245.0,4234.0,4232.0,4196.0
WATAUGA,6602.0,6789.0,6764.0,6542.0,6496.0,6454.0,6374.0,6345.0,6317.0,6282.0,6236.0,6204.0
WAYNE,43010.0,43543.0,43361.0,42601.0,42358.0,42072.0,41790.0,41520.0,41200.0,40879.0,40623.0,40443.0
WILKES,20802.0,21076.0,20976.0,20528.0,20440.0,20284.0,20156.0,20023.0,19951.0,19833.0,19715.0,19591.0
WILSON,30036.0,30496.0,30427.0,29883.0,29698.0,29486.0,29279.0,29043.0,28912.0,28725.0,28457.0,28228.0
YADKIN,10549.0,10779.0,10761.0,10483.0,10489.0,10321.0,10280.0,10237.0,10155.0,10060.0,9974.0,9860.0
YANCEY,5355.0,5415.0,5422.0,5320.0,5338.0,5342.0,5322.0,5293.0,5233.0,5205.0,5160.0,5126.0
,0.0,,0.0,,,,,,,,,
