feature,column,r_ca,p_ca,r_ny,p_ny,avg_abs_r
Severe Housing Cost Burden,Severe Housing Cost Burden raw value,-0.32036308745098796,0.014218444612974925,0.13098545865008684,0.3102148987866668,0.2256742730505374
Uninsured,Uninsured raw value,0.21382152228694723,0.1070342430938192,0.22788100745395504,0.07485711915332971,0.22085126487045115
Children in Single-Parent Households,Children in Single-Parent Households raw value,0.04328972722136487,0.7469533374174391,0.3813627508544791,0.002226550764210561,0.212326239037922
Census Participation,Census Participation raw value,-0.18765982618491767,0.15835353940124097,-0.23576791513461273,0.06507274634016615,0.2117138706597652
Income Inequality,Income Inequality raw value,-0.16830468639064763,0.22377806233356534,0.2484484404328041,0.05777445813376707,0.20837656341172586
Severe Housing Problems,Severe Housing Problems raw value,-0.273126800064215,0.03804094030583595,0.13665948863948987,0.28953703059914637,0.20489314435185246
Dentists,Dentists raw value,-0.22704954171066605,0.08653238240546496,-0.16617998296872008,0.20055305169932888,0.19661476233969305
Sexually Transmitted Infections,Sexually Transmitted Infections raw value,-0.1742550697713536,0.1948395491973045,0.21778373852951288,0.09178410532506366,0.19601940415043323
Long Commute - Driving Alone,Long Commute - Driving Alone raw value,-0.3192091185552436,0.014591111661115257,-0.06421608441668201,0.6199931743231522,0.1917126014859628
School Funding Adequacy,School Funding Adequacy raw value,-0.12055655259823203,0.37170651431816215,-0.22980952197337745,0.08267214702371187,0.17518303728580475
Excessive Drinking,Excessive Drinking raw value,-0.11264918505128663,0.3998330233975994,-0.21157785995731535,0.09877758864681274,0.162113522504301
Injury Deaths,Injury Deaths raw value,0.15972504167822393,0.23105067230485865,0.15555825672162443,0.227314569566489,0.15764164919992418
Mental Health Providers,Mental Health Providers raw value,-0.2607738579652386,0.04802842733917761,-0.03697478096309745,0.775404894755503,0.14887431946416801
Low Birthweight,Low Birthweight raw value,0.10333496242128813,0.44431394763182097,0.16828390021352713,0.19483204890681685,0.13580943131740764
Residential Segregation - Black/White,Residential Segregation - Black/White raw value,0.20462451599292172,0.1456287928374992,0.06487028774874447,0.6347893138332746,0.1347474018708331
Air Pollution - Particulate Matter,Air Pollution - Particulate Matter raw value,-0.21293853959505274,0.10852572372882832,-0.056423817909816175,0.6631361771368514,0.13468117875243446
Gender Pay Gap,Gender Pay Gap raw value,-0.19171134426362443,0.149398975693384,0.07381499551279619,0.5685622752732542,0.1327631698882103
Drinking Water Violations,Drinking Water Violations raw value,-0.10817872580383828,0.41891432427786846,-0.08996218809124112,0.4868303489703548,0.0990704569475397
Limited Access to Healthy Foods,Limited Access to Healthy Foods raw value,0.11988739838549177,0.370039934371366,0.03881724552108391,0.7645280744271832,0.07935232195328784
Uninsured Children,Uninsured Children raw value,0.13054741820887306,0.32868555491890494,0.011818108204684135,0.9273612914782147,0.07118276320677859
Other Primary Care Providers,Other Primary Care Providers raw value,-0.1159754303960815,0.3859715393040819,-0.011566903797920495,0.9289012585039653,0.063771167097001
Social Associations,Social Associations raw value,-0.046699244667256126,0.7277659959647644,0.04523022283357594,0.7270337605391504,0.04596473375041603
Alcohol-Impaired Driving Deaths,Alcohol-Impaired Driving Deaths raw value,0.053154529783063474,0.6918977963573987,-0.02924202399314683,0.8215014344227969,0.04119827688810515
Child Care Centers,Child Care Centers raw value,-0.0164710476353863,0.9023309110348106,-0.007688665505745222,0.9531042977717092,0.012079856570565761
Living Wage,Living Wage raw value,,,,,
