feature,column,enet_coef
Food Insecurity,Food Insecurity raw value,0.1766874548273511
Teen Births,Teen Births raw value,0.0707586812000874
Median Household Income,Median Household Income raw value,-0.0559815318737268
Frequent Mental Distress,Frequent Mental Distress raw value,0.032470563349009836
Voter Turnout,Voter Turnout raw value,-0.01964108547480549
Suicides,Suicides raw value,0.006745273747051142
