Region,n,v2_mean,v2_std,v1_mean,shift,ed_rate_mean
West,31,0.15241844050145856,0.5443372185161773,-0.24906114739011279,0.40147958789157134,425.53075257756467
North Central,7,-0.5484982625172311,1.0324309185373886,-0.15940231572903057,-0.38909594678820053,297.70997431124357
Piedmont,23,-0.3504805733649068,0.9109664519273445,-0.10359311649026691,-0.24688745687463987,443.89119327025384
South Central,5,0.6621581707957437,0.6584939406534218,0.7380185825744964,-0.07586041177875269,251.71457432333472
East,34,0.008919068478101295,0.5844732537781938,0.22455778204625781,-0.21563871356815653,456.59607569726535
