Feature_Set,N_Features,CV_R2_mean,CV_R2_std
3-feature (pop + SVI + uninsured),3,0.31781348088103734,0.8389653664025756
5-feature (+ PCP + diabetes),5,0.2988090160141098,0.8407600106742947
10-feature,10,0.26592005374286554,0.9004346729179595
Full (36 features),36,0.343858183825231,0.6622165927300778
